km,price
240000,57600000000,3650
139800,19544040000,3800
150500,22650250000,4400
185530,34421380900,4450
176000,30976000000,5250
114800,13179040000,5350
166800,27822240000,5800
89000,7921000000,5990
144500,20880250000,5999
84000,7056000000,6200
82029,6728756841,6390
63060,3976563600,6390
74000,5476000000,6600
97500,9506250000,6800
67000,4489000000,6800
76025,5779800625,6900
48235,2326615225,6900
93000,8649000000,6990
60949,3714780601,7490
65674,4313074276,7555
54000,2916000000,7990
68500,4692250000,7990
22899,524364201,7990
61789,3817880521,8290
